table_name,column_name,data_type,nullable,is_id_column,is_pseudonymized,is_join_key,possible_join_group,description
mt_safe_course,course_status,string(),true,false,false,false,null,Course publication status.
mt_safe_course,course_rbp,integer(),true,false,false,false,null,Required by policy flag (mandatory indicator).
mt_safe_course,course_cne_available,boolean(),true,false,false,false,null,CNE credits available flag.
mt_safe_course,course_cme_available,boolean(),true,false,false,false,null,CME credits available flag.
mt_safe_assignment_course_progress,user_course_state,string(),true,false,false,false,null,Completion state of user-course pair.
mt_safe_assignment_course_progress,assignment_id1,string(),true,true,true,true,assignment,Assignment identifier. JOIN to mt_safe_assignment.assignment_ID.
mt_safe_assignment_course_progress,course_id,string(),true,true,true,true,course,Course identifier. JOIN to mt_safe_course.course_id1.
mt_safe_assignment_course_progress,user_id,string(),true,true,true,true,user,User identifier. JOIN to mt_safe_user.user_id.
mt_safe_assignment_course_progress,course_type,string(),true,false,false,false,null,Pflichtkurs (mandatory) or Wahlkurs (elective).
mt_safe_certificate,id,string(),true,true,true,true,certificate,Certificate ID (CERT_xxx). Primary identifier.
mt_safe_certificate,courseId,string(),true,true,true,true,course,Course identifier. JOIN to mt_safe_user.course_id. NOTE: camelCase in this table.
mt_safe_certificate,userId,string(),true,true,true,true,user,User identifier. JOIN to mt_safe_user.user_id. NOTE: camelCase in this table.
mt_safe_certificate,assignmentId,string(),true,true,true,true,assignment,Assignment identifier. JOIN to mt_safe_assignment.assignment_ID.
mt_safe_certificate,completedOn,timestamp(),true,false,false,false,null,Certificate completion timestamp.
mt_safe_certificate,certificate_type,string(),true,false,false,false,null,Pflichtzertifikat (mandatory) or Wahlzertifikat (elective).
mt_safe_company_contracts,id,string(),true,true,true,true,contract,Contract ID (primary key).
mt_safe_company_contracts,userCancelledAt,timestamp(),true,false,false,false,null,When user cancelled the contract (NULL if active).
mt_safe_company_contracts,startingTime,timestamp(),true,false,false,false,null,Contract start date.
mt_safe_company_contracts,expiryTime,timestamp(),true,false,false,false,null,Contract expiry date.
mt_safe_company_contracts,companyId,string(),true,true,true,true,company,Company identifier. JOIN to mt_safe_company.company_ID.
mt_safe_company_contracts,status,string(),true,false,false,false,null,Contract status.
mt_safe_company_contracts,hasFixedLicenseCount,boolean(),true,false,false,false,null,Whether license count is fixed.
mt_safe_company_contracts,noOfLicenses,integer(),true,false,false,false,null,Number of licenses in contract.
mt_safe_exam_result,exam_userId,string(),true,true,true,true,user,User identifier. JOIN to mt_safe_user.user_id.
mt_safe_exam_result,examId,string(),true,true,true,true,exam,Exam identifier.
mt_safe_exam_result,exam_assignmentId,string(),true,true,true,true,assignment,Assignment identifier. JOIN to mt_safe_assignment.assignment_ID.
mt_safe_exam_result,resultPercentage,integer(),true,false,false,false,null,Exam result as percentage (0-100).
mt_safe_exam_result,correctAnswers,integer(),true,false,false,false,null,Number of correct answers.
mt_safe_exam_result,questionsCount,integer(),true,false,false,false,null,Total questions in exam.
mt_safe_exam_result,hasPassed,boolean(),true,false,false,false,null,Whether user passed the exam.
mt_safe_exam_result,exam_date,timestamp(),true,false,false,false,null,Timestamp when exam was taken.
mt_safe_opportunity,opportunity_id,string(),true,true,true,true,opportunity,PRIMARY opportunity identifier.
mt_safe_opportunity,opportunity_name,string(),true,false,false,false,null,Opportunity display name.
mt_safe_opportunity,account_id,string(),true,true,true,true,account,Account/company identifier.
mt_safe_opportunity,created_at,timestamp(),true,false,false,false,null,Opportunity creation timestamp.
mt_safe_opportunity,close_date,date(),true,false,false,false,null,Expected or actual close date.
mt_safe_opportunity,last_stage_change_at,timestamp(),true,false,false,false,null,Last stage change timestamp.
mt_safe_opportunity,amount,"decimal(38,22)",true,false,false,false,null,Deal amount in EUR.
mt_safe_opportunity,expected_revenue,"decimal(38,22)",true,false,false,false,null,Expected revenue from opportunity.
mt_safe_opportunity,stage_name,string(),true,false,false,false,null,Sales pipeline stage.
mt_safe_opportunity,probability,double(),true,false,false,false,null,Win probability (0-100).
mt_safe_opportunity,forecast_category,string(),true,false,false,false,null,Forecast category code.
mt_safe_opportunity,forecast_category_name,string(),true,false,false,false,null,Forecast category display name.
mt_safe_opportunity,is_closed,boolean(),true,false,false,false,null,Whether deal is closed.
mt_safe_opportunity,is_won,boolean(),true,false,false,false,null,Whether deal was won.
mt_safe_opportunity,opportunity_type,string(),true,false,false,false,null,Type of opportunity.
mt_safe_opportunity,lead_source,string(),true,false,false,false,null,Lead source channel.
mt_safe_opportunity,platform,string(),true,false,false,false,null,Platform type.
mt_safe_opportunity,vertical,string(),true,false,false,false,null,Industry vertical.
mt_safe_opportunity,is_renewal,boolean(),true,false,false,false,null,Whether this is a renewal opportunity.
mt_safe_opportunity,fiscal_year,integer(),true,false,false,false,null,Fiscal year of the opportunity.
mt_safe_opportunity,fiscal_quarter,integer(),true,false,false,false,null,Fiscal quarter.
mt_safe_opportunity,fiscal_period,string(),true,false,false,false,null,Fiscal period.
mt_safe_opportunity,sales_cycle_days,double(),true,false,false,false,null,Sales cycle length in days.
mt_safe_opportunity,user_count,double(),true,false,false,false,null,Number of users in deal.
mt_safe_opportunity,deal_term_months,double(),true,false,false,false,null,Contract term in months.
mt_safe_opportunity,push_count,integer(),true,false,false,false,null,Number of times close date was pushed.
mt_safe_opportunity,loss_reason,string(),true,false,false,false,null,Reason for lost deal.
mt_safe_opportunity,closed_lost_reason,string(),true,false,false,false,null,Detailed closed-lost reason.
mt_safe_opportunity,billing_start_date,date(),true,false,false,false,null,Billing period start.
mt_safe_opportunity,billing_end_date,date(),true,false,false,false,null,Billing period end.
mt_safe_opportunity,renewal_end_date,date(),true,false,false,false,null,Renewal end date.
