assignment_ID,company_ID1,topic_assignment,deadline_assignment,interval_assignment,status_assignment,is_default_assignment,is_reoccurring_assignment,assignment_completed_at
A_9665b6df0010,C_8b391db2f616,Expertenstandart,2023-03-31 00:00:00,null,ACTIVE,false,false,null
A_5fe2b333e036,C_8b391db2f616,Expertenstandart,2023-04-30 00:00:00,12M,ACTIVE,false,true,null
A_635d5447330e,C_8b391db2f616,Expertenstandart,2023-05-31 00:00:00,12M,ACTIVE,false,true,null
A_758a2248acd3,C_8b391db2f616,Expertenstandart,2023-06-30 00:00:00,null,ACTIVE,false,false,null
A_6c098f687436,C_8b391db2f616,Expertenstandart,2023-07-31 00:00:00,12M,ACTIVE,false,true,null
A_1fd5e5a64d78,C_8b391db2f616,Expertenstandart,2023-08-31 00:00:00,12M,ACTIVE,false,true,null
A_966e285deeaa,C_8b391db2f616,Expertenstandard,2023-03-31 00:00:00,null,ACTIVE,false,false,null
A_64416e6766a5,C_8b391db2f616,Expertenstandard,2023-09-30 00:00:00,null,ACTIVE,false,false,null
A_1ac8699ac364,C_8b391db2f616,Expertenstandard,2023-10-31 00:00:00,12M,ACTIVE,false,true,null
A_f6a25f6a36d4,C_8b391db2f616,Fortbildung für Pflegehelfer,2023-02-28 00:00:00,null,ACTIVE,false,false,null
A_3fba303c7898,C_8b391db2f616,Fortbildung für Pflegehelfer,2023-03-15 00:00:00,null,ACTIVE,false,false,null
A_27c334c151eb,C_8b391db2f616,Fortbildung für Pflegehelfer,2023-03-31 00:00:00,null,ACTIVE,false,false,null
A_43af3bd5d000,C_8b391db2f616,Fortbildung für Pflegehelfer,2023-04-30 00:00:00,null,ACTIVE,false,false,null
A_9ea21835af3b,C_8b391db2f616,Pflichtschulung ,2023-03-31 00:00:00,12M,COMPLETED,false,true,2025-09-17 13:13:36.72
A_2a57fe1bf954,C_8b391db2f616,Pflichtfortbildung,2023-04-30 00:00:00,12M,ACTIVE,false,true,null
A_b307687c6415,C_8b391db2f616,Pflichtschulung,2023-05-31 00:00:00,null,ACTIVE,false,false,null
A_a013db357018,C_8b391db2f616,Pflichtschulung,2023-06-30 00:00:00,12M,ACTIVE,false,true,null
A_15e5686cda1e,C_8b391db2f616,Pflichtschulung,2023-06-30 00:00:00,12M,ACTIVE,false,true,null
A_5794fe222bbf,C_8b391db2f616,Pflichtschulung,2023-07-31 00:00:00,12M,ACTIVE,false,true,null
A_0015af7c7c9c,C_8b391db2f616,Pflichtschulung,2023-08-31 00:00:00,12M,ACTIVE,false,true,null
A_a3210cc50141,C_8b391db2f616,Pflichtschulung,2023-09-30 00:00:00,12M,ACTIVE,false,true,null
A_e221713e53b8,C_8b391db2f616,Pflichtschulung,2023-10-31 00:00:00,12M,ACTIVE,false,true,null
A_c2c6d88483d8,C_8b391db2f616,Pflichtschulung,2023-11-30 00:00:00,12M,ACTIVE,false,true,null
A_86edf07e702f,C_8b391db2f616,Pflichtfortbildung,2023-12-31 00:00:00,12M,ACTIVE,false,true,null
A_1706468aa0e0,C_1a00b64e4f55,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_3ed741ba6f08,C_1a00b64e4f55,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_9dec3b382442,C_3b80ef87a0b5,Meine Kurse,null,null,DRAFT,false,false,null
A_8083918b53ba,C_acbab3f1ef2b,Pflichtfortbildungen ambulant,null,null,COMPLETED,true,false,2024-10-17 13:18:25.092011
A_b98e7a580e61,C_acbab3f1ef2b,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_47e7a230ee76,C_7a41ad5bddf1,Hygiene Teil I,2023-06-30 00:00:00,null,ACTIVE,true,false,null
A_06790f9e140e,C_7a41ad5bddf1,Pflichtfortbildungen stationär Teil I,2023-05-31 00:00:00,null,ACTIVE,true,false,null
A_f7e87fcaabf2,C_7a41ad5bddf1,Expertenstandards Teil I,2023-04-30 00:00:00,null,ACTIVE,false,false,null
A_0fa380a846a1,C_7a41ad5bddf1,Fortbildungen für Pflegehelfende Teil I,2023-04-30 00:00:00,null,ACTIVE,false,false,null
A_0d71731c819e,C_7a41ad5bddf1,Fahrdienst,2023-04-30 00:00:00,6M,ACTIVE,false,true,null
A_2832c98ca0d0,C_7a41ad5bddf1,Pflichtschulungen Pflegeassistenz Teil I,2023-05-31 00:00:00,12M,ACTIVE,false,true,null
A_084e37f84026,C_15f2d93e8370,Fortbildungen ambulant,2023-03-31 00:00:00,null,ACTIVE,true,false,null
A_ad04ee560018,C_15f2d93e8370,Expertenstandards 2025,null,12M,DRAFT,true,true,null
A_79045ea56cb8,C_da5789148960,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_e457451d9636,C_da5789148960,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_40776e1b583e,C_d1cd73b81035,Lehrplan 1-3,2023-05-31 00:00:00,null,ACTIVE,false,false,null
A_2991fd98e919,C_d1cd73b81035,Lehrplan 4-6,2023-07-31 00:00:00,null,ACTIVE,false,false,null
A_44cd75e95171,C_587c7b01cdc6,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_d410b33c105f,C_587c7b01cdc6,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_be4da7ef19d6,C_7b21b487d2d1,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_eaedfecba859,C_7b21b487d2d1,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_184b10303dba,C_61f02d7dbe84,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_53cc59b5e459,C_61f02d7dbe84,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_b2afdb4ffafe,C_407c1e7c947b,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_200fc5e7b801,C_407c1e7c947b,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_afd1d993fe0a,C_50e0d94d849d,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_4c51be1309ef,C_50e0d94d849d,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_1defd5ced1c3,C_b6acda424b9b,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_525fef627854,C_b6acda424b9b,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_e61b46395c31,C_68bab9e9fdef,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_236c19d24f07,C_68bab9e9fdef,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_583d8983c1bd,C_ce2a4c594dbb,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_92ec1b7197b6,C_ce2a4c594dbb,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_1a47cea7965c,C_7311fd648ff4,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_5966655fb612,C_7311fd648ff4,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_047c81bf1638,C_7ffa9c8eacad,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_78b9b012ce66,C_517f070dc563,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_06281b437e6c,C_517f070dc563,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_689fd7662c23,C_c4fae19d22dc,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_197e093cac1b,C_c4fae19d22dc,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_fc9e9faf9e44,C_8c69fb87fa11,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_8f1e9e088f86,C_8c69fb87fa11,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_9c21a2da646e,C_b2f7fb059ae7,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_bcee64399726,C_b2f7fb059ae7,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_c042154bf0ba,C_e39d59842c21,Pflichtfortbildungen ambulant,2023-06-30 00:00:00,null,ACTIVE,true,false,null
A_14ed6b30df00,C_e39d59842c21,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_4a2871cffe75,C_72ef0e4cb818,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_b7f9df19567d,C_72ef0e4cb818,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_d78b20e41fd9,C_ddcda094a6fd,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_948f1875ec7d,C_ddcda094a6fd,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_5d6a6caaceb4,C_d1cd73b81035,Lehrplan 7-9,2023-10-31 00:00:00,null,ACTIVE,false,false,null
A_e3b50ee26074,C_e962af0f970f,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_d1ff4e4d0bb1,C_e962af0f970f,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_031af6f09e94,C_c576599d6f30,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_95cb4193c426,C_c576599d6f30,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_c1b5ac950644,C_3df7710f8253,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_4c48338723c4,C_3df7710f8253,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_5ea1c89cd42c,C_9fc6ef9f5a41,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_7d98a505e840,C_9fc6ef9f5a41,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_926386e629df,C_d8b26e4b5998,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_54c847018b96,C_d8b26e4b5998,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_ed6724027b91,C_d8b26e4b5998,S & J ambulant Pflicht,2023-06-01 00:00:00,12M,ACTIVE,false,true,null
A_b9db7dd23d63,C_58acb3c36375,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_2f79e3cbb568,C_58acb3c36375,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_1315ac37e167,C_5b09bf97f779,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_8fe526685869,C_5b09bf97f779,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_cdcbd56c02a5,C_4d745e4be1d9,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_e41c2c04df2c,C_4d745e4be1d9,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_f9bdb50571fd,C_5b09bf97f779,Testeinheiten,2023-06-01 00:00:00,null,ACTIVE,false,false,null
A_3445355b5588,C_7e6283cf6962,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_3f417793d616,C_7e6283cf6962,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_e2c13e53aaa7,C_2f676c693e03,Pflichtfortbildungen ambulant,2024-01-11 00:00:00,null,ACTIVE,true,false,null
A_4a73ee41b7ac,C_2f676c693e03,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_305f93a151b4,C_00a845b35e9b,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_b1372a7c6e74,C_00a845b35e9b,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_9ff34f33d976,C_4db60c86a724,Pflichtfortbildungen ambulant,2024-02-29 00:00:00,6M,ACTIVE,true,true,null
A_6789ef3e7269,C_4db60c86a724,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_d229a2f6755e,C_4db60c86a724,Expertenstandards,2023-10-31 00:00:00,12M,ACTIVE,false,true,null
A_1711ba995d0d,C_90f2829bbb82,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_4417f085466e,C_90f2829bbb82,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_582ee82390a7,C_fd0445473535,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_f3209b5b32ab,C_fd0445473535,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_e1f6d83b010d,C_49bf135afd5d,Pflichtfortbildungen ambulant,2024-05-03 00:00:00,null,ACTIVE,true,false,null
A_11d0143f4645,C_49bf135afd5d,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_1c77e0491322,C_7d81f5fb0025,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_2509cfe539cc,C_7d81f5fb0025,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_df8e57c1445e,C_bd414d37fe4c,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_4cbd035f784c,C_bd414d37fe4c,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_afa72cf0a39a,C_b5746be227cc,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_7617d95dde3c,C_b5746be227cc,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_3079b0a6e547,C_14d496fac0ed,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_8586bf26a2c3,C_14d496fac0ed,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_f05f8cbe9a55,C_e57463d736fd,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_daf3dc802336,C_e57463d736fd,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_7d709e171b76,C_59319d010164,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_c8f54edcb831,C_59319d010164,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_87ff79e78cdf,C_8e1a3b86d410,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_194188b6a2f7,C_8e1a3b86d410,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_a5d8da81185b,C_87930d2c9f22,Fortbildungsplan 2024 ,2024-12-31 00:00:00,null,ACTIVE,false,false,null
A_c675090cc40d,C_b54fb66700cc,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_0bea643841f5,C_b54fb66700cc,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_f94e38d27432,C_27978f3b36f4,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_c59c80702923,C_27978f3b36f4,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_c756fbce7ffe,C_b19edb12bb39,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_fe31c4992205,C_b19edb12bb39,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_f684b0ae691e,C_8a4a19ad67bb,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_c88adb3bb6c2,C_8a4a19ad67bb,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_ccbbbc8c6def,C_68aae68411c1,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_f2ffdb3d3ec0,C_68aae68411c1,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_d1833a311441,C_5d00c5ef2e95,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_150b62c49c24,C_5d00c5ef2e95,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_a61bf0cd7fdd,C_7b0c7251d068,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_456177271c38,C_7b0c7251d068,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_63ea27b54c36,C_c4f1b36ab09f,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_cb582f3007a3,C_c4f1b36ab09f,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_d8f4387e7c4c,C_9b5f72d05196,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_ceeeadbf6cd6,C_9b5f72d05196,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_7af14387db3a,C_daa757a555a9,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_de7c1d074402,C_daa757a555a9,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_621918bfbe0a,C_daa757a555a9,SIS,2023-07-31 00:00:00,null,COMPLETED,false,false,2024-10-17 13:18:25.092011
A_b57a61e9af39,C_daa757a555a9,Fachbezogenes Deutsch,2023-08-17 00:00:00,null,COMPLETED,false,false,2024-10-17 13:18:25.092011
A_5d8c24434f84,C_2f2e85a96dfc,Pflichtfortbildungen 4-7,2023-12-31 00:00:00,null,ACTIVE,false,false,null
A_68348289c846,C_99e298ee9cc3,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_74f302f36d94,C_99e298ee9cc3,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_2dcee8277cd3,C_a7c7ec17a30d,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_886add737e09,C_a7c7ec17a30d,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_0675f04268fb,C_a025fb6cc50a,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_e7de2e0d75f5,C_a025fb6cc50a,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_f0a42db827fa,C_c75e2b3b7a9a,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_a0a9d10e261d,C_c75e2b3b7a9a,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_939d0ab49c8e,C_fb74f17b2814,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_9ef17d60c2cb,C_fb74f17b2814,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_2ca303f3f293,C_7edefcc7dd23,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_92e9efbed105,C_7edefcc7dd23,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_b029175a17c6,C_6381023d12b1,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_cd88d9e20b63,C_6381023d12b1,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_ffe7a5f36370,C_3361702d780d,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_17365349e0cd,C_3361702d780d,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_61da563ce3dd,C_75970f1c1e1e,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_2b39bd6681a0,C_75970f1c1e1e,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_0169048a3943,C_75970f1c1e1e,basis,2023-08-31 00:00:00,6M,ACTIVE,false,true,null
A_0af14aede29a,C_132afc956d8c,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_b4975c71e032,C_132afc956d8c,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_17edf132a662,C_4b75f7abcd5d,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_74b4a24f6253,C_4b75f7abcd5d,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_4539be6f0089,C_5b6119d4cc31,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_057e5f4ad27f,C_5b6119d4cc31,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_27fdc1d72dce,C_5b6119d4cc31,Pflege,2023-10-01 00:00:00,12M,ACTIVE,false,true,null
A_1cd075301e99,C_58aae47a5773,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_aa0d0a524c9a,C_58aae47a5773,Pflegehelfer,2025-01-23 00:00:00,null,ACTIVE,true,false,null
A_1202383f1e26,C_f318d7cf782a,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_5ff37235e19f,C_f318d7cf782a,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_f9309b65ab4a,C_e4ae27f2e302,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_89dc0c736993,C_e4ae27f2e302,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_38cc941840c8,C_996b2b260006,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_aac3629e3759,C_996b2b260006,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_1c55c96c780f,C_97d07376946c,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_8d165b27930a,C_97d07376946c,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_88a5d617f11f,C_426c8aea7c77,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_0758f4659939,C_426c8aea7c77,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_3d969fe336eb,C_ee81a2bfd8db,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_d6747a41830b,C_ee81a2bfd8db,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_8eb0d7fe7581,C_e254437a785a,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_4cdb767a311c,C_e254437a785a,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_268a9a14bf5c,C_eb43d55062f6,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_47e431fd248c,C_eb43d55062f6,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_59513feef65c,C_82b558082607,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_2599f7be7f2a,C_82b558082607,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_13bf0865bddf,C_e1c47372ca5b,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_4cb584d8ae75,C_e1c47372ca5b,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_2a575a2ff5d7,C_3d99d016197d,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_7e15289488e5,C_3d99d016197d,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_864ab1be5f87,C_1625c88b2e67,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_43a7297af7e7,C_1625c88b2e67,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_1e089d41bc68,C_1c479bee97ad,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_39f7f9f0d48a,C_1c479bee97ad,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_2a59fc428e32,C_231269ba465f,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_b2be490cad67,C_231269ba465f,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_3fedf3bcfd46,C_f0078e251c33,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_3f5c7cda61ec,C_f0078e251c33,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_43c51d9c5f73,C_fbef286b7128,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_99887d60839d,C_fbef286b7128,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_c0ff83c4c4b9,C_19913626081c,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_0e59a284297b,C_19913626081c,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_7cc6a5e8b88b,C_13dba477d45b,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_243e8bd02602,C_13dba477d45b,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_fa3a6bbd76cc,C_c9e219dcd8ba,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_b3b0b34b03fe,C_c9e219dcd8ba,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_43174b408ba7,C_00a553552520,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_6922b9b8a66b,C_00a553552520,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_963dc3d5c4a5,C_bab2427a28d8,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_84c70c37996b,C_bab2427a28d8,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_74a591d7062d,C_3e87e2b8ffd6,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_4ef912011a76,C_3e87e2b8ffd6,Pflichtfortbildungen stationär,2023-10-01 00:00:00,null,ACTIVE,true,false,null
A_b229aed09c3e,C_9baff160725b,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_9cb917554a81,C_9baff160725b,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_a621d43f772a,C_2e9e636c4e00,Pflichtfortbildungen ambulant,2023-09-30 00:00:00,null,ACTIVE,true,false,null
A_16d21f8c548a,C_2e9e636c4e00,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_c15f0f82daa0,C_2e9e636c4e00,schulungen,2023-08-22 00:00:00,null,ACTIVE,false,false,null
A_fb61e263f8c9,C_2e9e636c4e00,Pat bezogen,2023-10-31 00:00:00,null,ACTIVE,false,false,null
A_add3969899dd,C_442bc35f7b8a,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_190d1827af63,C_442bc35f7b8a,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_43f61be6b21d,C_f97bdfcccb08,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
A_e07fed73084a,C_f97bdfcccb08,Pflichtfortbildungen stationär,null,null,DRAFT,true,false,null
A_2d1eff3a0ece,C_f85cdeca5230,Pflichtfortbildungen ambulant,null,null,DRAFT,true,false,null
